Molecule Name,Structure,CDD Number,SMILES,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Concentration (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Inhibition (%)
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,24.8799991607666,15.5
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,1.55200004577637,4.8
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,12.4399995803833,2.8
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.776000022888184,-0.547
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,7.46299982070923,8.7
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.388000011444092,4.43
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,2.48799991607666,-2.79
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.194000005722046,-1.74
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,1.55200004577637,-1.75
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.100000001490116,-1.94
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.776000022888184,-4.12
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.0500000007450581,-4.21
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.388000011444092,4.35
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.194000005722046,-4.34
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.100000001490116,-4.78
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,0.0500000007450581,-5.76
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,99.5,38.5
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,49.75,21.4
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,24.8799991607666,10.9
CVD-0020430, ,,Cn1c(NNC(=O)c2cc(=O)[nH]c3ccccc23)nc2ccccc12,ALP-UNI-ed5cdfd2-5,> 99.5,,,12.4399995803833,1.96
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.388000011444092,6.65
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.194000005722046,-0.178
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.100000001490116,8.32
CVD-0020429, ,,O=C(NNc1nc2ccccc2o1)c1cc(=O)[nH]c2ccccc12,ALP-UNI-ed5cdfd2-4,> 99.5,,,0.0500000007450581,-2.05
