"Compound ID","SMILES","Library","Shipment","Plate Name","Source Well","Lab Visit","Soak DB Entry","Sample Name","Mounting Result","Soak DB Comments","Data Collection Date","Data Collection Outcome","Resolution","Refinement Outcome","Status","Date Last Updated","Fragalysis","PDB Code","Zenodo Status","Postera Series","Rapid Fire inhibition at 50 uM","Rapid Fire avg IC50 (uM)","Fluorescence inhibition at 50 uM","Fluorescence avg IC50 (uM)","Trypsin IC50","NMR std ratio"
"LON-WEI-b8d98729-16","CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","D07","lb18145-153","lb18145-153-3733","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,11.734435,,,
"LON-WEI-b8d98729-2","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","E05","lb18145-153","lb18145-153-3734","","FAIL: Crystalline:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,24.534565,,,
"LON-WEI-b8d98729-17","CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","E07","lb18145-153","lb18145-153-3735","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,99,63.733785,66.3870347492245,99,
"LON-WEI-b8d98729-33","CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","F05","lb18145-153","lb18145-153-3736","","FAIL: Precipitated:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,22.655935,,,
"LON-WEI-b8d98729-18","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","F07","lb18145-153","lb18145-153-3737","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,12.477995,,,
"LON-WEI-b8d98729-37","COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3)=C(C)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","G05","lb18145-153","lb18145-153-3738","","FAIL: Precipitated:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,25.43588,,,
"LON-WEI-b8d98729-19","COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","G07","lb18145-153","lb18145-153-3739","","FAIL: Crystalline:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,9.7348115,,,
"LON-WEI-b8d98729-38","CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)C1","MoonShot","Moonshot_shipment_1","1166137-Y4-01","H05","lb18145-153","lb18145-153-3740","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,32.0306141190936,59.258365,59.0215327740357,99,
"LON-WEI-b8d98729-20","CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C2=CC(=NN2)C(C)(C)C)C=3C=CC=NC3","MoonShot","Moonshot_shipment_1","1166137-Y4-01","H07","lb18145-153","lb18145-153-3741","","FAIL: Crystalline:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,4.7055155,,,
"LON-WEI-b8d98729-21","CC(C)(C)C=1C=C(NN1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","I07","lb18145-153","lb18145-153-3742","","FAIL: Crystalline:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,19.53423,,,
"LON-WEI-b8d98729-22","COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","J07","lb18145-153","lb18145-153-3743","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,26.09074,,,
"LON-WEI-b8d98729-23","CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=C(ON1)C(C)(C)C)C=2C=CC=NC2","MoonShot","Moonshot_shipment_1","1166137-Y4-01","K07","lb18145-153","lb18145-153-3744","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,16.13711,99,99,
"LON-WEI-b8d98729-24","CSC=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C","MoonShot","Moonshot_shipment_1","1166137-Y4-01","L07","lb18145-153","lb18145-153-3745","","FAIL: Clear:No comment","Co-crystallisation",,"None",,,"Stopped",,,,,"Ugi",,,32.28805,,,
